ОСНОВНИЙ НАПРЯМОК,ЗУПИНКА,НОРМАЛІЗОВАНА ЗУПИНКА,ТИП ЗУПИНКИ,ЗАГАЛЬНА К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ,К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ EUROTRIPS,К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ КОНКУРЕНТАМИ,global_add_score,global_trim_score,dir_add_score,dir_trim_score,recommendation,priority,note
Польща,Прага,прага,CITY,5,4,1,"0,6411578719","0,1655494452","0,1923473616","0,5296648336",TRIM,HIGH,Прибрати або ослабити
Австрія,Відень,відень,CITY,26,3,23,"0,5916002364","0,175937077","0,600556994","0,2027811231",ADD,HIGH,Додати в маршрут
Австрія,Будапешт,будапешт,CITY,23,3,20,"0,5712832273","0,1862342552","0,5779067073","0,2058702766",ADD,HIGH,Додати в маршрут
Італія,Мілан,мілан,CITY,21,3,18,"0,5922410541","0,1736680369","0,5705294591","0,2021004111",ADD,HIGH,Додати в маршрут
Румунія,Брашов,брашов,CITY,13,3,10,"0,4101050879","0,1879718352","0,4191853725","0,2063915506",ADD,MEDIUM,Додати в маршрут
Польща,Дрезден,дрезден,CITY,4,3,1,"0,6325487889","0,1732204418","0,1897646367","0,4769661325",TRIM,MEDIUM,Прибрати або ослабити
Угорщина,Верона,верона,CITY,4,3,1,"0,4539755457","0,1977686404","0,1361926637","0,4843305921",TRIM,MEDIUM,Прибрати або ослабити
Італія,Рим,рим,CITY,32,2,30,"0,5910951521","0,181047705","0,6585785456","0,2043143115",ADD,HIGH,Додати в маршрут
Італія,Озеро Гарда,озеро гарда,OTHER,15,2,13,"0,5938593574","0,04114064258","0,7314911406","0,01234219277",ADD,HIGH,Додати в маршрут
Австрія,Прага,прага,CITY,14,2,12,"0,6411578719","0,1655494452","0,5852045044","0,1996648336",ADD,HIGH,Додати в маршрут
Румунія,Бухарест,бухарест,CITY,11,2,9,"0,5367880186","0,1782119814","0,5110364056","0,2034635944",ADD,HIGH,Додати в маршрут
Греція,Львів,львів,CITY,10,2,8,"0,5042565542","0,1799484667","0,4812769663","0,20398454",ADD,MEDIUM,Додати в маршрут
Австрія,Зальцбург,зальцбург,CITY,9,2,7,"0,6542090454","0,1559260897","0,5018182692","0,1967778269",ADD,HIGH,Додати в маршрут
Румунія,Львів,львів,CITY,8,2,6,"0,5042565542","0,1799484667","0,4262769663","0,20398454",ADD,MEDIUM,Додати в маршрут
Австрія,Гальштат,гальштат,CITY,6,2,4,"0,5115390882","0,1788455272","0,3367950598","0,2036536582",ADD,MEDIUM,Додати в маршрут
Італія,Доломітові Альпи,доломітові альпи,OTHER,5,2,3,"0,3480666473","0,04693335265","0,3644199942","0,0140800058",ADD,MEDIUM,Додати в маршрут
Італія,Лідо Ді Єзоло,лідо ді єзоло,CITY,5,2,3,"0,04426290244","0,2307370976","0,1232788707","0,2192211293",TRIM,LOW,Прибрати або ослабити
Угорщина,Мукачево,мукачево,CITY,5,2,3,"0,5268480045","0,1981519955","0,2680544014","0,2094455986",ADD,MEDIUM,Додати в маршрут
Румунія,Трансильванія,трансильванія,OTHER,4,2,2,"0,2633922288","0,0116077712","0,2290176686","0,00348233136",ADD,LOW,Додати в маршрут
Угорщина,Відень,відень,CITY,4,2,2,"0,5916002364","0,175937077","0,1774800709","0,2027811231",TRIM,LOW,Прибрати або ослабити
Польща,Вроцлав,вроцлав,CITY,3,2,1,"0,6732765614","0,1642234386","0,2019829684","0,3826003649",TRIM,MEDIUM,Прибрати або ослабити
Угорщина,Венеція,венеція,CITY,3,2,1,"0,5434782331","0,1889475095","0,1630434699","0,3900175862",TRIM,MEDIUM,Прибрати або ослабити
Угорщина,Ніцца,ніцца,CITY,3,2,1,"0,5873331363","0,1929300216","0,1761999409","0,3912123398",TRIM,MEDIUM,Прибрати або ослабити
Греція,Київ,київ,CITY,2,2,0,"0,0576852813","0,2173147187","0,01730558439","0,7651944156",TRIM,HIGH,Прибрати або ослабити
Греція,Халкідіки,халкідіки,CITY,2,2,0,"0,02789089489","0,8471091051","0,008367268466","0,9541327315",TRIM,HIGH,Прибрати або ослабити
Польща,Амстердам,амстердам,CITY,2,2,0,"0,6468509075","0,1696125071","0,1940552723","0,7508837521",TRIM,HIGH,Прибрати або ослабити
Польща,Польща,польща,COUNTRY,2,2,0,"0,07484411361","0,6501558864","0,02245323408","0,7450467659",TRIM,HIGH,Прибрати або ослабити
Румунія,Замок Дракули,замок дракули,OTHER,2,2,0,"0,2164041246","0,6585958754","0,2149212374","0,7475787626",TRIM,HIGH,Прибрати або ослабити
Румунія,Замок Кантакузіно,замок кантакузіно,OTHER,2,2,0,"0,2164041246","0,6585958754","0,2149212374","0,7475787626",TRIM,HIGH,Прибрати або ослабити
Угорщина,Озеро Гарда,озеро гарда,OTHER,2,2,0,"0,5938593574","0,04114064258","0,3281578072","0,5623421928",TRIM,HIGH,Прибрати або ослабити
Італія,Егер,егер,CITY,33,1,32,"0,6563490578","0,1862185098","0,713571384","0,2058655529",ADD,HIGH,Додати в маршрут
Італія,Флоренція,флоренція,CITY,30,1,29,"0,6532473284","0,1842526716","0,7093075319","0,2052758015",ADD,HIGH,Додати в маршрут
Чехія,Прага,прага,CITY,16,1,15,"0,6411578719","0,1655494452","0,6735973616","0,1996648336",ADD,HIGH,Додати в маршрут
Італія,Неаполь,неаполь,CITY,15,1,14,"0,6223667589","0,1726332411","0,6633766943","0,2017899723",ADD,HIGH,Додати в маршрут
Чехія,Львів,львів,CITY,11,1,10,"0,5042565542","0,1799484667","0,6012769663","0,20398454",ADD,HIGH,Додати в маршрут
Італія,Монако,монако,COUNTRY,8,1,7,"0,6164725976","0,03995597381","0,5974417793","0,01198679214",ADD,HIGH,Додати в маршрут
Італія,Ніцца,ніцца,CITY,8,1,7,"0,5873331363","0,1929300216","0,5886999409","0,2078790065",ADD,HIGH,Додати в маршрут
Італія,Помпеї,помпеї,CITY,8,1,7,"0,54894183","0,17605817","0,577182549","0,202817451",ADD,HIGH,Додати в маршрут
Італія,Озеро Комо,озеро комо,OTHER,7,1,6,"0,7667497825","0,01594252521","0,7728820776","0,004782757563",ADD,HIGH,Додати в маршрут
Італія,Амальфі,амальфі,CITY,6,1,5,"0,5012396567","0,1737603433","0,5170385637","0,202128103",ADD,HIGH,Додати в маршрут
Румунія,Чернівці,чернівці,CITY,5,1,4,"0,4579298169","0,1770701831","0,4673789451","0,2031210549",ADD,MEDIUM,Додати в маршрут
Австрія,Люцерн,люцерн,CITY,3,1,2,"0,6924600443","0,1501075232","0,3910713466","0,195032257",ADD,MEDIUM,Додати в маршрут
Австрія,Мукачево,мукачево,CITY,3,1,2,"0,5268480045","0,1981519955","0,3413877347","0,2094455986",ADD,MEDIUM,Додати в маршрут
Литва,Вільнюс,вільнюс,CITY,3,1,2,"0,4570964837","0,1779035163","0,3204622784","0,2033710549",ADD,MEDIUM,Додати в маршрут
Литва,Рига,рига,CITY,3,1,2,"0,4936030151","0,1967816003","0,3314142379","0,2090344801",ADD,MEDIUM,Додати в маршрут
Польща,Будапешт,будапешт,CITY,3,1,2,"0,5712832273","0,1862342552","0,3547183015","0,2058702766",ADD,MEDIUM,Додати в маршрут
Угорщина,Егер,егер,CITY,3,1,2,"0,6563490578","0,1862185098","0,3802380507","0,2058655529",ADD,MEDIUM,Додати в маршрут
Чехія,Відень,відень,CITY,3,1,2,"0,5916002364","0,175937077","0,3608134043","0,2027811231",ADD,MEDIUM,Додати в маршрут
Італія,Гардаленд,гардаленд,OTHER,2,1,1,"0,2079821563","0,06701784371","0,2123946469","0,02010535311",ADD,LOW,Додати в маршрут
Польща,Гданськ,гданськ,CITY,2,1,1,"0,5542810363","0,1873856303","0,1662843109","0,2062156891",TRIM,LOW,Прибрати або ослабити
Польща,Копенгаген,копенгаген,CITY,2,1,1,"0,5690221544","0,1859778456","0,1707066463","0,2057933537",TRIM,LOW,Прибрати або ослабити
Польща,Осло,осло,CITY,2,1,1,"0,5369924516","0,1880075484","0,1610977355","0,2064022645",TRIM,LOW,Прибрати або ослабити
Польща,Рига,рига,CITY,2,1,1,"0,4936030151","0,1967816003","0,1480809045","0,2090344801",TRIM,LOW,Прибрати або ослабити
Польща,Стокгольм,стокгольм,CITY,2,1,1,"0,4960527364","0,194331879","0,1488158209","0,2082995637",TRIM,LOW,Прибрати або ослабити
Угорщина,Любляна,любляна,CITY,2,1,1,"0,6432988906","0,1685432147","0,1929896672","0,2005629644",TRIM,LOW,Прибрати або ослабити
Угорщина,Монако,монако,COUNTRY,2,1,1,"0,6164725976","0,03995597381","0,1849417793","0,01198679214",ADD,LOW,Додати в маршрут
Італія,Барселона,барселона,CITY,1,1,0,"0,6298813035","0,190573242","0,188964391","0,7571719726",TRIM,HIGH,Прибрати або ослабити
Італія,Озеро Браєс,озеро браєс,OTHER,1,1,0,"0,2099247768","0,6650752232","0,212977433","0,749522567",TRIM,HIGH,Прибрати або ослабити
Італія,Острів,острів,OTHER,1,1,0,"0,2157205074","0,6592794926","0,2147161522","0,7477838478",TRIM,HIGH,Прибрати або ослабити
Італія,Острів Капрі,острів капрі,OTHER,1,1,0,"0,2157205074","0,6592794926","0,2147161522","0,7477838478",TRIM,HIGH,Прибрати або ослабити
Італія,Песк Єра Дель Гарда,песк єра дель гарда,CITY,1,1,0,"0,0432857393","0,8317142607","0,01298572179","0,9495142782",TRIM,HIGH,Прибрати або ослабити
Італія,Порт Авентура,порт авентура,CITY,1,1,0,"0,0432857393","0,8317142607","0,01298572179","0,9495142782",TRIM,HIGH,Прибрати або ослабити
Італія,Словенія,словенія,COUNTRY,1,1,0,"0,1264627814","0,6","0,03793883442","0,73",TRIM,HIGH,Прибрати або ослабити
Австрія,Берн,берн,CITY,1,1,0,"0,6739573556","0,15","0,2021872067","0,745",TRIM,HIGH,Прибрати або ослабити
Австрія,Гріндельвальд,гріндельвальд,CITY,1,1,0,"0,1056565915","0,7693434085","0,03169697746","0,9308030225",TRIM,HIGH,Прибрати або ослабити
Австрія,Польща,польща,COUNTRY,1,1,0,"0,07484411361","0,6501558864","0,02245323408","0,7450467659",TRIM,HIGH,Прибрати або ослабити
Австрія,Рейнський Водоспад,рейнський водоспад,OTHER,1,1,0,"0,7721091769","0,002890823119","0,3816327531","0,5508672469",TRIM,HIGH,Прибрати або ослабити
Австрія,Стрий,стрий,CITY,1,1,0,"0,05589093446","0,2191090655","0,01676728034","0,7657327197",TRIM,HIGH,Прибрати або ослабити
Австрія,Цюріх,цюріх,CITY,1,1,0,"0,6448420222","0,15","0,1934526067","0,745",TRIM,HIGH,Прибрати або ослабити
Австрія,Інтерлакен,інтерлакен,CITY,1,1,0,"0,6795161792","0,15","0,2038548538","0,745",TRIM,HIGH,Прибрати або ослабити
Литва,Каунас,каунас,CITY,1,1,0,"0,1020350077","0,1729649923","0,03061050231","0,7518894977",TRIM,HIGH,Прибрати або ослабити
Литва,Львів,львів,CITY,1,1,0,"0,5042565542","0,1799484667","0,1512769663","0,75398454",TRIM,HIGH,Прибрати або ослабити
Литва,Стокгольм,стокгольм,CITY,1,1,0,"0,4960527364","0,194331879","0,1488158209","0,7582995637",TRIM,HIGH,Прибрати або ослабити
Литва,Таллінн,таллінн,CITY,1,1,0,"0,5507568146","0,1742431854","0,1652270444","0,7522729556",TRIM,HIGH,Прибрати або ослабити
Польща,Антверпен,антверпен,CITY,1,1,0,"0,2999639407","0,1750360593","0,0899891822","0,7525108178",TRIM,HIGH,Прибрати або ослабити
Польща,Берген,берген,CITY,1,1,0,"0,2721652078","0,2028347922","0,08164956233","0,7608504377",TRIM,HIGH,Прибрати або ослабити
Польща,Берлін,берлін,CITY,1,1,0,"0,6853183385","0,1678634797","0,2055955016","0,7503590439",TRIM,HIGH,Прибрати або ослабити
Польща,Братислава,братислава,CITY,1,1,0,"0,1384866967","0,75","0,041546009","0,925",TRIM,HIGH,Прибрати або ослабити
Польща,Брюгге,брюгге,CITY,1,1,0,"0,5991622674","0,1558377326","0,1797486802","0,7467513198",TRIM,HIGH,Прибрати або ослабити
Польща,Брюссель,брюссель,CITY,1,1,0,"0,6695736095","0,1574263905","0,2008720829","0,7472279171",TRIM,HIGH,Прибрати або ослабити
Польща,Волендам,волендам,CITY,1,1,0,"0,6139482449","0,1687440628","0,1841844735","0,7506232188",TRIM,HIGH,Прибрати або ослабити
Польща,Гаага,гаага,CITY,1,1,0,"0,6343663843","0,177475721","0,1903099153","0,7532427163",TRIM,HIGH,Прибрати або ослабити
Польща,Заансе Сханс,заансе сханс,CITY,1,1,0,"0,6526086379","0,1678459076","0,1957825914","0,7503537723",TRIM,HIGH,Прибрати або ослабити
Польща,Мальме,мальме,CITY,1,1,0,"0,4465710888","0,1884289112","0,1339713266","0,7565286734",TRIM,HIGH,Прибрати або ослабити
Польща,Мон Сен Мішель,мон сен мішель,CITY,1,1,0,"0,4792154452","0,1557845548","0,1437646336","0,7467353664",TRIM,HIGH,Прибрати або ослабити
Польща,Морське Око,морське око,OTHER,1,1,0,"0,2399560117","0,6350439883","0,2219868035","0,7405131965",TRIM,HIGH,Прибрати або ослабити
Польща,Нормандія,нормандія,OTHER,1,1,0,"0,7031564432","0,02184355681","0,360946933","0,556553067",TRIM,HIGH,Прибрати або ослабити
Польща,Париж,париж,CITY,1,1,0,"0,6774769481","0,1627404432","0,2032430844","0,748822133",TRIM,HIGH,Прибрати або ослабити
Польща,Руан,руан,CITY,1,1,0,"0,6759917981","0,1590082019","0,2027975394","0,7477024606",TRIM,HIGH,Прибрати або ослабити
Польща,Саксонська Швейцарія,саксонська швейцарія,OTHER,1,1,0,"0,6910877737","0,01248365484","0,3573263321","0,5537450965",TRIM,HIGH,Прибрати або ослабити
Польща,Сен Мало,сен мало,CITY,1,1,0,"0,4804770406","0,1545229594","0,1441431122","0,7463568878",TRIM,HIGH,Прибрати або ослабити
Польща,Сентендре,сентендре,CITY,1,1,0,"0,5682681369","0,1867318631","0,1704804411","0,7560195589",TRIM,HIGH,Прибрати або ослабити
Польща,Флом,флом,CITY,1,1,0,"0,526638422","0,1769330066","0,1579915266","0,753079902",TRIM,HIGH,Прибрати або ослабити
Польща,Чехія,чехія,COUNTRY,1,1,0,"0,05179782163","0,6732021784","0,01553934649","0,7519606535",TRIM,HIGH,Прибрати або ослабити
Польща,Язик Троля,язик троля,CITY,1,1,0,0,"0,8761965581",0,"0,9628589674",TRIM,HIGH,Прибрати або ослабити
Румунія,Трансфагараш,трансфагараш,OTHER,1,1,0,"0,197098327","0,677901673","0,2091294981","0,7533705019",TRIM,HIGH,Прибрати або ослабити
Словенія,Будапешт,будапешт,CITY,1,1,0,"0,5712832273","0,1862342552","0,1713849682","0,7558702766",TRIM,HIGH,Прибрати або ослабити
Словенія,Бурано,бурано,CITY,1,1,0,"0,08515037576","0,2565162909","0,02554511273","0,7769548873",TRIM,HIGH,Прибрати або ослабити
Словенія,Венеція,венеція,CITY,1,1,0,"0,5434782331","0,1889475095","0,1630434699","0,7566842528",TRIM,HIGH,Прибрати або ослабити
Словенія,Львів,львів,CITY,1,1,0,"0,5042565542","0,1799484667","0,1512769663","0,75398454",TRIM,HIGH,Прибрати або ослабити
Словенія,Словенія,словенія,COUNTRY,1,1,0,"0,1264627814","0,6","0,03793883442","0,73",TRIM,HIGH,Прибрати або ослабити
Туреччина,Львів,львів,CITY,1,1,0,"0,5042565542","0,1799484667","0,1512769663","0,75398454",TRIM,HIGH,Прибрати або ослабити
Туреччина,Стамбул,стамбул,CITY,1,1,0,"0,5000315276","0,1749684724","0,1500094583","0,7524905417",TRIM,HIGH,Прибрати або ослабити
Угорщина,Адріатичне Узбережжя,адріатичне узбережжя,OTHER,1,1,0,"0,5527311438","0,0822688562","0,3158193431","0,5746806569",TRIM,HIGH,Прибрати або ослабити
Угорщина,Бечичі,бечичі,CITY,1,1,0,"0,009935654398","0,8650643456","0,002980696319","0,9595193037",TRIM,HIGH,Прибрати або ослабити
Угорщина,Канни,канни,CITY,1,1,0,"0,5861099158","0,1965823919","0,1758329747","0,7589747176",TRIM,HIGH,Прибрати або ослабити
Угорщина,Коста Брава,коста брава,OTHER,1,1,0,"0,15","0,744158324","0,195","0,7732474972",TRIM,HIGH,Прибрати або ослабити
Угорщина,Лігурійське Узбережжя,лігурійське узбережжя,OTHER,1,1,0,"0,21263306","0,06236693996","0,213789918","0,568710082",TRIM,HIGH,Прибрати або ослабити
Угорщина,Лідо Ді Єзоло,лідо ді єзоло,CITY,1,1,0,"0,04426290244","0,2307370976","0,01327887073","0,7692211293",TRIM,HIGH,Прибрати або ослабити
Угорщина,Озеро Блед,озеро блед,OTHER,1,1,0,"0,6059491063","0,02905089371","0,3317847319","0,5587152681",TRIM,HIGH,Прибрати або ослабити
Угорщина,Озеро Браєс,озеро браєс,OTHER,1,1,0,"0,2099247768","0,6650752232","0,212977433","0,749522567",TRIM,HIGH,Прибрати або ослабити
Угорщина,Портофіно,портофіно,CITY,1,1,0,"0,5796104472","0,1753895528","0,1738831341","0,7526168659",TRIM,HIGH,Прибрати або ослабити
Угорщина,Рим,рим,CITY,1,1,0,"0,5910951521","0,181047705","0,1773285456","0,7543143115",TRIM,HIGH,Прибрати або ослабити
Угорщина,Сен Тропе,сен тропе,CITY,1,1,0,"0,04164579255","0,8333542075","0,01249373777","0,9500062622",TRIM,HIGH,Прибрати або ослабити
Угорщина,Стрий,стрий,CITY,1,1,0,"0,05589093446","0,2191090655","0,01676728034","0,7657327197",TRIM,HIGH,Прибрати або ослабити
Чехія,Нормандія,нормандія,OTHER,1,1,0,"0,7031564432","0,02184355681","0,360946933","0,556553067",TRIM,HIGH,Прибрати або ослабити
Чехія,Париж,париж,CITY,1,1,0,"0,6774769481","0,1627404432","0,2032430844","0,748822133",TRIM,HIGH,Прибрати або ослабити
Чехія,Польща,польща,COUNTRY,1,1,0,"0,07484411361","0,6501558864","0,02245323408","0,7450467659",TRIM,HIGH,Прибрати або ослабити
Франція,Париж,париж,CITY,54,0,54,"0,6774769481","0,1627404432","0,7532430844","0,198822133",ADD,HIGH,Додати в маршрут
Франція,Прага,прага,CITY,43,0,43,"0,6411578719","0,1655494452","0,7423473616","0,1996648336",ADD,HIGH,Додати в маршрут
Франція,Краків,краків,CITY,33,0,33,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Франція,Львів,львів,CITY,33,0,33,"0,5042565542","0,1799484667","0,7012769663","0,20398454",ADD,HIGH,Додати в маршрут
Нідерланди,Амстердам,амстердам,CITY,28,0,28,"0,6468509075","0,1696125071","0,7440552723","0,2008837521",ADD,HIGH,Додати в маршрут
Італія,Ватикан,ватикан,COUNTRY,25,0,25,"0,6994200489","0,02557995111","0,7598260147","0,007673985333",ADD,HIGH,Додати в маршрут
Франція,Вроцлав,вроцлав,CITY,25,0,25,"0,6732765614","0,1642234386","0,7519829684","0,1992670316",ADD,HIGH,Додати в маршрут
Франція,Руан,руан,CITY,25,0,25,"0,6759917981","0,1590082019","0,7527975394","0,1977024606",ADD,HIGH,Додати в маршрут
Швейцарія,Люцерн,люцерн,CITY,25,0,25,"0,6924600443","0,1501075232","0,7577380133","0,195032257",ADD,HIGH,Додати в маршрут
Італія,Піза,піза,CITY,23,0,23,"0,6982850448","0,1767149552","0,7594855134","0,2030144866",ADD,HIGH,Додати в маршрут
Нідерланди,Берлін,берлін,CITY,20,0,20,"0,6853183385","0,1678634797","0,7555955016","0,2003590439",ADD,HIGH,Додати в маршрут
Нідерланди,Заансе Сханс,заансе сханс,CITY,20,0,20,"0,6526086379","0,1678459076","0,7457825914","0,2003537723",ADD,HIGH,Додати в маршрут
Франція,Берлін,берлін,CITY,20,0,20,"0,6853183385","0,1678634797","0,7555955016","0,2003590439",ADD,HIGH,Додати в маршрут
Іспанія,Ніцца,ніцца,CITY,19,0,19,"0,5873331363","0,1929300216","0,7261999409","0,2078790065",ADD,HIGH,Додати в маршрут
Франція,Етрета,етрета,CITY,19,0,19,"0,7252774413","0,15","0,7675832324","0,195",ADD,HIGH,Додати в маршрут
Іспанія,Монако,монако,COUNTRY,18,0,18,"0,6164725976","0,03995597381","0,7349417793","0,01198679214",ADD,HIGH,Додати в маршрут
Австрія,Краків,краків,CITY,18,0,18,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Нідерланди,Краків,краків,CITY,18,0,18,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Нідерланди,Прага,прага,CITY,18,0,18,"0,6411578719","0,1655494452","0,7423473616","0,1996648336",ADD,HIGH,Додати в маршрут
Франція,Версаль,версаль,CITY,18,0,18,"0,7188799665","0,1561200335","0,7656639899","0,1968360101",ADD,HIGH,Додати в маршрут
Франція,Нюрнберг,нюрнберг,CITY,18,0,18,"0,7153662193","0,1596337807","0,7646098658","0,1978901342",ADD,HIGH,Додати в маршрут
Швейцарія,Краків,краків,CITY,18,0,18,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Іспанія,Барселона,барселона,CITY,17,0,17,"0,6298813035","0,190573242","0,738964391","0,2071719726",ADD,HIGH,Додати в маршрут
Італія,Трієст,трієст,CITY,17,0,17,"0,6960201722","0,1789798278","0,7588060516","0,2036939484",ADD,HIGH,Додати в маршрут
Нідерланди,Вроцлав,вроцлав,CITY,17,0,17,"0,6732765614","0,1642234386","0,7519829684","0,1992670316",ADD,HIGH,Додати в маршрут
Франція,Довіль,довіль,CITY,17,0,17,"0,7167575655","0,1582424345","0,7650272696","0,1974727304",ADD,HIGH,Додати в маршрут
Франція,Трувіль Сюр Мер,трувіль сюр мер,CITY,17,0,17,"0,7156205978","0,1593794022","0,7646861793","0,1978138207",ADD,HIGH,Додати в маршрут
Греція,Салоніки,салоніки,CITY,16,0,16,"0,6600824279","0,2149175721","0,7480247284","0,2144752716",ADD,HIGH,Додати в маршрут
Нідерланди,Делфт,делфт,CITY,16,0,16,"0,6996477161","0,1753522839","0,7598943148","0,2026056852",ADD,HIGH,Додати в маршрут
Франція,Діснейленд,діснейленд,OTHER,16,0,16,"0,8661144854","0,008885514561","0,9598343456","0,002665654368",ADD,HIGH,Додати в маршрут
Нідерланди,Брюссель,брюссель,CITY,15,0,15,"0,6695736095","0,1574263905","0,7508720829","0,1972279171",ADD,HIGH,Додати в маршрут
Нідерланди,Гаага,гаага,CITY,15,0,15,"0,6343663843","0,177475721","0,7403099153","0,2032427163",ADD,HIGH,Додати в маршрут
Нідерланди,Львів,львів,CITY,15,0,15,"0,5042565542","0,1799484667","0,7012769663","0,20398454",ADD,HIGH,Додати в маршрут
Франція,Дрезден,дрезден,CITY,15,0,15,"0,6325487889","0,1732204418","0,7397646367","0,2019661325",ADD,HIGH,Додати в маршрут
Швейцарія,Львів,львів,CITY,15,0,15,"0,5042565542","0,1799484667","0,7012769663","0,20398454",ADD,HIGH,Додати в маршрут
Швейцарія,Інтерлакен,інтерлакен,CITY,15,0,15,"0,6795161792","0,15","0,7538548538","0,195",ADD,HIGH,Додати в маршрут
Італія,Краків,краків,CITY,14,0,14,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Франція,Страсбург,страсбург,CITY,14,0,14,"0,7276769803","0,15","0,7683030941","0,195",ADD,HIGH,Додати в маршрут
Швейцарія,Берн,берн,CITY,14,0,14,"0,6739573556","0,15","0,7521872067","0,195",ADD,HIGH,Додати в маршрут
Швейцарія,Цюрих,цюрих,CITY,14,0,14,"0,7205323991","0,154467601","0,7661597197","0,1963402803",ADD,HIGH,Додати в маршрут
Австрія,Егер,егер,CITY,13,0,13,"0,6563490578","0,1862185098","0,7469047173","0,2058655529",ADD,HIGH,Додати в маршрут
Франція,Кольмар,кольмар,CITY,13,0,13,"0,7303906009","0,15","0,7691171803","0,195",ADD,HIGH,Додати в маршрут
Швейцарія,Зальцбург,зальцбург,CITY,13,0,13,"0,6542090454","0,1559260897","0,7462627136","0,1967778269",ADD,HIGH,Додати в маршрут
Іспанія,Венеція,венеція,CITY,12,0,12,"0,5434782331","0,1889475095","0,7130434699","0,2066842528",ADD,HIGH,Додати в маршрут
Іспанія,Львів,львів,CITY,12,0,12,"0,5042565542","0,1799484667","0,7012769663","0,20398454",ADD,HIGH,Додати в маршрут
Нідерланди,Волендам,волендам,CITY,12,0,12,"0,6139482449","0,1687440628","0,7341844735","0,2006232188",ADD,HIGH,Додати в маршрут
Німеччина,Краків,краків,CITY,12,0,12,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Франція,Брно,брно,CITY,12,0,12,"0,7158671213","0,1591328787","0,7647601364","0,1977398636",ADD,HIGH,Додати в маршрут
Франція,Будапешт,будапешт,CITY,12,0,12,"0,5712832273","0,1862342552","0,7213849682","0,2058702766",ADD,HIGH,Додати в маршрут
Франція,Нормандія,нормандія,OTHER,12,0,12,"0,7031564432","0,02184355681","0,910946933","0,006553067044",ADD,HIGH,Додати в маршрут
Чехія,Дрезден,дрезден,CITY,12,0,12,"0,6325487889","0,1732204418","0,7397646367","0,2019661325",ADD,HIGH,Додати в маршрут
Чехія,Краків,краків,CITY,12,0,12,"0,6594794274","0,167198425","0,7478438282","0,2001595275",ADD,HIGH,Додати в маршрут
Італія,Сан Марино,сан марино,COUNTRY,11,0,11,"0,6747404088","0,0502595912","0,7524221226","0,01507787736",ADD,HIGH,Додати в маршрут
Німеччина,Берлін,берлін,CITY,11,0,11,"0,6853183385","0,1678634797","0,7555955016","0,2003590439",ADD,HIGH,Додати в маршрут
