,Литва,0,3,0,34,—,152€,КРИТИЧНИЙ РОЗРИВ,"0,7563157895",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Молдова,"0,7542105263",
,Португалія,0,3,0,63,—,744€,КРИТИЧНИЙ РОЗРИВ,"0,7563157895",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Фінляндія,"0,7542105263",
,Болгарія,0,2,0,38,—,387€,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Боснія і Герцеговина,"0,7521052632",
,Естонія,0,2,0,41,—,312€,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,,,
,Молдова,0,2,0,39,—,207€,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,ОПЕРАТОР,ТУРІВ,
,Фінляндія,0,2,0,8,—,603€,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Accord tour,183,
,Боснія і Герцеговина,0,1,0,5,—,183€,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Adriatic,136,
,Данія,0,1,0,58,—,519€,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,ITravel,54,
,Північна Македонія,0,1,0,6,—,110€,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Tango Travel,43,
,Словаччина,0,1,0,1,—,204€,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Travel Room,13,
,Словенія,0,1,0,0,—,135€,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,DavClub,11,
,Австрія,3,36,42,1306,166€,214€,НИЗЬКЕ ПОКРИТТЯ,"0,5608252841",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,Rich Tour,10,
,Греція,2,26,35,540,482€,415€,НИЗЬКЕ ПОКРИТТЯ,"0,5416530493",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,,,
,Нідерланди,1,31,7,1421,289€,351€,НИЗЬКЕ ПОКРИТТЯ,"0,5412683824",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,МІСЯЦЬ,EUROTRIPS,COMPETITORS
,Франція,3,68,22,2891,412€,364€,НИЗЬКЕ ПОКРИТТЯ,"0,5386098258",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,СІЧ,0,0
,Швейцарія,1,28,12,1179,244€,337€,НИЗЬКЕ ПОКРИТТЯ,"0,5342081588",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,ЛЮТ,0,0
,Угорщина,2,10,31,314,129€,169€,ЗБАЛАНСОВАНО,"0,5321014493",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,БЕР,0,0
,Чорногорія,1,11,13,282,404€,359€,НИЗЬКЕ ПОКРИТТЯ,"0,5268707384",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,КВІ,10,550
,Іспанія,2,20,7,681,489€,543€,НИЗЬКЕ ПОКРИТТЯ,"0,5151267188",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,ТРА,16,1962
,Італія,11,95,55,3109,294€,345€,ЗБАЛАНСОВАНО,"0,5127924463",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,ЧЕР,40,2163
,Норвегія,1,8,2,201,589€,520€,ЗБАЛАНСОВАНО,"0,5068489565",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,ЛИП,45,2145
,Румунія,3,18,8,437,129€,173€,ЗБАЛАНСОВАНО,"0,5066814369",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,СЕР,44,2261
,Чехія,3,19,18,788,176€,209€,ЗБАЛАНСОВАНО,"0,5066485962",⚡ СЕРЕДНІЙ,,,,,,,,,,,,,,,,,,,ВЕР,41,1783
,Польща,4,13,9,514,122€,207€,ЗБАЛАНСОВАНО,"0,4703275535",—,,,,,,,,,,,,,,,,,,,ЖОВ,37,1942
,Латвія,1,0,2,0,299€,—,ЛИШЕ ВЛАСНИЙ ПРОДУКТ,"0,3",—,,,,,,,,,,,,,,,,,,,ЛИС,18,1224
,Туреччина,1,0,15,0,184€,—,ЛИШЕ ВЛАСНИЙ ПРОДУКТ,"0,3",—,,,,,,,,,,,,,,,,,,,ГРУ,27,1268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,НАПРЯМОК,% ВІД МЕДІАНИ,
,📅  СЕЗОННІСТЬ — ВИЇЗДИ ПО МІСЯЦЯХ,,,,,,,,,,,,,,,,,,,,,,,,,,,,швейцарія,"-0,27",
,Джерело,СІЧ,ЛЮТ,БЕР,КВІ,ТРА,ЧЕР,ЛИП,СЕР,ВЕР,ЖОВ,ЛИС,ГРУ,,,,,,,,,,,,,,,,угорщина,"-0,19",
,Eurotrips,0,0,0,10,16,40,45,44,41,37,18,27,,,,,,,,,,,,,,,,румунія,"-0,19",
,Конкуренти,0,0,0,550,1962,2163,2145,2261,1783,1942,1224,1268,,,,,,,,,,,,,,,,нідерланди,"-0,17",
,Всього,0,0,0,560,1978,2203,2190,2305,1824,1979,1242,1295,,,,,,,,,,,,,,,,австрія,"-0,17",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,польща,"-0,17",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,італія,"-0,13",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чехія,"-0,12",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,іспанія,"-0,03",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,латвія,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,туреччина,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,норвегія,"0,09",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чорногорія,"0,11",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,франція,"0,17",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,греція,"0,18",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,НАПРЯМОК,EUROTRIPS,COMPETITORS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нідерланди,2,"0,81"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,іспанія,2,"1,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,норвегія,2,"0,5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,греція,2,"1,69"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,туреччина,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чорногорія,2,"1,45"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,румунія,"1,67","0,83"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,франція,"1,67","1,07"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,італія,"1,64","0,94"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,угорщина,"1,5",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,австрія,"1,33","0,89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чехія,1,"0,79"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,НАПРЯМОК,% ПОКРИТТЯ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Нідерланди,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Швейцарія,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Франція,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Греція,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Австрія,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чорногорія,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Іспанія,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Італія,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Норвегія,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чехія,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Румунія,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Угорщина,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,АРХЕТИП,ТУРІВ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,стандарт | висока цінність | піврічний | середній комфорт,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,стандарт | середня цінність | сезонний | середній комфорт,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,стандарт | висока цінність | піврічний | високий комфорт,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бюджет | середня цінність | піврічний | середній комфорт,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бюджет | висока цінність | рідкісний | високий комфорт,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,стандарт | висока цінність | цілий рік | середній комфорт,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,стандарт | висока цінність | сезонний | високий комфорт,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,преміум | висока цінність | піврічний | високий комфорт,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бюджет | висока цінність | сезонний | середній комфорт,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бюджет | середня цінність | сезонний | середній комфорт,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,НАПРЯМОК,EUROTRIPS VS,COMPETITORS VS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чехія,"0,72","0,67"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,польща,"0,71","0,57"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,швейцарія,"0,7","0,74"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,норвегія,"0,68","0,69"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,угорщина,"0,67","0,62"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нідерланди,"0,65","0,7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,австрія,"0,64","0,63"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,румунія,"0,64","0,69"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,франція,"0,64","0,7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,італія,"0,59","0,64"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чорногорія,"0,59","0,63"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,іспанія,"0,55","0,64"
